ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov
1	23324	1	1	0.000000	13.991597	13.991597	0.000000	0.000000
2	5603	1	1	0.000000	13.439943	13.439943	0.000000	0.000000
3	7157	1	1	0.000000	13.861674	13.861674	0.000000	0.000000
4	9518	1	1	0.000000	13.610632	13.610632	0.000000	0.000000
5	57456	1	1	0.000000	13.893466	13.893466	0.000000	0.000000
6	8259	1	1	0.000000	13.559753	13.559753	0.000000	0.000000
7	528	2	2	0.000000	99.037879	96.429924	0.000000	0.000000
8	5	2	1	0.000000	62.800000	62.800000	0.000000	0.000000
9	157	1	1	0.000000	43.420382	43.420382	0.000000	0.000000
10	2414	1	1	0.000000	13.742336	13.742336	0.000000	0.000000
11	31053	1	1	0.000000	13.758477	13.758477	0.000000	0.000000
12	5018	1	1	0.000000	13.786369	13.786369	0.000000	0.000000
13	27001	1	1	0.000000	13.762750	13.762750	0.000000	0.000000
14	6012	1	1	0.000000	14.059381	14.059381	0.000000	0.000000
15	8389	1	1	0.000000	13.974133	13.974133	0.000000	0.000000
16	10447	1	1	0.000000	13.612903	13.612903	0.000000	0.000000
17	13016	1	1	0.000000	13.772127	13.772127	0.000000	0.000000
18	11226	1	1	0.000000	13.635222	13.635222	0.000000	0.000000
19	4576	1	1	0.000000	13.951267	13.951267	0.000000	0.000000
20	1989	1	1	0.000000	13.536953	13.536953	0.000000	0.000000
21	9618	1	1	0.000000	13.793408	13.793408	0.000000	0.000000
22	8802	1	1	0.000000	13.935128	13.935128	0.000000	0.000000
23	44909	1	1	0.000000	13.868089	13.868089	0.000000	0.000000
24	8906	1	1	0.000000	14.013249	14.013249	0.000000	0.000000
25	6036	1	1	0.000000	13.799702	13.799702	0.000000	0.000000
26	14206	1	1	0.000000	13.865198	13.865198	0.000000	0.000000
27	12625	1	1	0.000000	13.759366	13.759366	0.000000	0.000000
28	8848	1	1	0.000000	13.727622	13.727622	0.000000	0.000000
29	30764	1	1	0.000000	13.767618	13.767618	0.000000	0.000000
30	21085	1	1	0.000000	13.728338	13.728338	0.000000	0.000000
31	20263	1	1	0.000000	14.020382	14.020382	0.000000	0.000000
32	12868	1	1	0.000000	13.985468	13.985468	0.000000	0.000000
33	7556	1	1	0.000000	13.686607	13.686607	0.000000	0.000000
34	23286	1	1	0.000000	13.858456	13.858456	0.000000	0.000000
35	7187	1	1	0.000000	13.732573	13.732573	0.000000	0.000000
36	2757	1	1	0.000000	13.188611	13.188611	0.000000	0.000000
37	3660	1	1	0.000000	13.889891	13.889891	0.000000	0.000000
38	15273	1	1	0.000000	13.729195	13.729195	0.000000	0.000000
39	11317	1	1	0.000000	13.857559	13.857559	0.000000	0.000000
40	1127	2	2	0.000000	96.622005	92.084295	0.000000	0.000000
41	3118	1	1	0.000000	13.853432	13.853432	0.000000	0.000000
42	28910	1	1	0.000000	13.867589	13.867589	0.000000	0.000000
43	31875	1	1	0.000000	13.697725	13.697725	0.000000	0.000000
44	17081	1	1	0.000000	13.841754	13.841754	0.000000	0.000000
45	115723	1	1	0.000000	13.780960	13.780960	0.000000	0.000000
46	18913	1	1	0.000000	13.636123	13.636123	0.000000	0.000000
47	19704	1	1	0.000000	13.664028	13.664028	0.000000	0.000000
48	9525	1	1	0.000000	13.859528	13.859528	0.000000	0.000000
49	4089	1	1	0.000000	13.897530	13.897530	0.000000	0.000000
50	1398	1	1	0.000000	14.296853	14.296853	0.000000	0.000000
51	1805	1	1	0.000000	14.293075	14.293075	0.000000	0.000000
