Scan REF	AF14.CEL	AF14.CEL	AF15.CEL	AF15.CEL	AF16.CEL	AF16.CEL	AF6.CEL	AF6.CEL	AF7.CEL	AF7.CEL	AF8.CEL	AF8.CEL
Composite Element REF	Software Unknown:GC-RMA	Unknown:Detection Call	Software Unknown:GC-RMA	Unknown:Detection Call	Software Unknown:GC-RMA	Unknown:Detection Call	Software Unknown:GC-RMA	Unknown:Detection Call	Software Unknown:GC-RMA	Unknown:Detection Call	Software Unknown:GC-RMA	Unknown:Detection Call
Affymetrix:CompositeSequence:HG-U133A_2:117_at	2.797892097	A	2.81304395	P	2.767806662	M	2.739291869	A	2.805124545	P	2.778550718	A
Affymetrix:CompositeSequence:HG-U133A_2:121_at	6.106214781	P	6.133609491	P	6.11536497	P	6.098587236	P	6.125526215	P	6.116201457	P
Affymetrix:CompositeSequence:HG-U133A_2:177_at	2.513068473	A	2.533609305	A	2.507690605	A	2.473580901	A	2.536790202	A	2.50468059	A
Affymetrix:CompositeSequence:HG-U133A_2:179_at	1.886798954	A	1.896897097	A	1.885158383	A	1.872658201	A	1.898142762	A	1.883883333	A
Affymetrix:CompositeSequence:HG-U133A_2:243_g_at	8.15562306	P	8.061569909	P	8.13218526	P	7.922236731	P	8.038855434	P	8.071010927	P
Affymetrix:CompositeSequence:HG-U133A_2:266_s_at	5.412580575	P	5.632433563	P	4.693140708	P	5.708039294	P	6.930578608	P	5.824657255	P
Affymetrix:CompositeSequence:HG-U133A_2:320_at	2.628350494	P	2.498549494	P	2.485088125	P	2.49406392	P	2.488551357	P	2.472795374	P
Affymetrix:CompositeSequence:HG-U133A_2:336_at	2.086294781	A	2.098880237	A	2.083230479	A	2.064332987	A	2.095727259	A	2.079981248	A
Affymetrix:CompositeSequence:HG-U133A_2:396_f_at	2.181668115	A	2.20460541	A	2.177662516	A	2.175322808	P	2.203360411	A	2.18327655	A
Affymetrix:CompositeSequence:HG-U133A_2:564_at	3.947480423	P	3.553105547	P	3.955527744	P	3.934143951	P	3.960658661	P	4.184918648	P
Affymetrix:CompositeSequence:HG-U133A_2:632_at	5.439257057	M	5.460126014	P	5.430282063	P	5.622076187	P	5.469864969	P	5.434052298	P
Affymetrix:CompositeSequence:HG-U133A_2:635_s_at	2.808670822	P	2.728965513	A	2.711084084	P	2.705947192	P	2.752114457	P	2.710957442	A
Affymetrix:CompositeSequence:HG-U133A_2:823_at	2.239911547	A	2.250929898	A	2.237841632	P	2.217890859	A	2.252415146	A	2.234126715	P
Affymetrix:CompositeSequence:HG-U133A_2:1007_s_at	7.564284591	P	7.777767345	P	7.68024982	P	7.576094903	P	7.708735779	P	7.701393599	P
Affymetrix:CompositeSequence:HG-U133A_2:1053_at	10.53601603	P	10.02674887	P	10.33809242	P	10.53763802	P	10.05825885	P	10.2911193	P
Affymetrix:CompositeSequence:HG-U133A_2:1255_g_at	2.22930692	A	2.239887473	A	2.225129217	M	2.208234822	A	2.241576552	A	2.222713241	A
Affymetrix:CompositeSequence:HG-U133A_2:1294_at	2.215469612	A	2.22784792	A	2.210303073	A	2.190444429	A	2.232407254	A	2.210208522	A
Affymetrix:CompositeSequence:HG-U133A_2:1316_at	2.776460245	A	2.784017127	A	2.756323867	A	2.729740172	A	2.786621889	A	2.757843261	A
Affymetrix:CompositeSequence:HG-U133A_2:1320_at	2.576620317	A	2.591497246	A	2.576350158	A	2.562411505	A	2.592611754	A	2.573661552	A
Affymetrix:CompositeSequence:HG-U133A_2:1405_i_at	2.856154255	A	2.857108919	A	2.827236925	A	2.807381487	A	2.861821557	A	2.852233363	A
Affymetrix:CompositeSequence:HG-U133A_2:1431_at	2.461260565	A	2.470910775	A	2.44511158	A	2.425378767	A	2.475288125	A	2.448721883	A
