Source Name	Characteristics [OrganismPart]	Term Source REF	Characteristics [BioSourceType]	Term Source REF	Characteristics [Organism]	Term Source REF	Characteristics [CellLine]	Characteristics [GeneticModification]	Term Source REF	Characteristics [Sex]	Term Source REF	Characteristics [DiseaseState]	Characteristics [DevelopmentalStage]	Term Source REF	Provider	nucleic_acid_extraction Protocol REF	specified_biomaterial_action Protocol REF	grow Protocol REF	Extract Name	Material Type	Term Source REF	labeling Protocol REF	LabeledExtract Name	Label	Material Type	hybridization Protocol REF	feature_extraction Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Comment [Array Design URI]	FactorValue [RNAi]	Array Data File	Comment [ArrayExpress FTP file]	Comment [ArrayExpress Data Retrieval URI]	bioassay_data_transformation Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	Comment [Derived ArrayExpress Data Retrieval URI]
PROX1 siRNA-2 replicate 2	colon	NCI_thesaurus	fresh_sample	The MGED Ontology	Homo sapiens	ncbitax	SW480-R18	transfection	NCI_thesaurus	male	The MGED Ontology	colon carcinoma	adult	NCI_thesaurus	ATCC	P-MTAB-1514	P-MTAB-1515	P-MTAB-1517	Extract 6	total_RNA	mo	P-AFFY-2	LabeledExtract6	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	P-AFFY-6	PROX1 siRNA 2 2nd	A-AFFY-37	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-37	PROX1 siRNA #2	E-MEXP-1422-raw-cel-1658527884.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1422/E-MEXP-1422.raw.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1658527986	P-MTAB-1516	E-MEXP-1422-processed-data-1658528009.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1422/E-MEXP-1422.processed.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1658527986
PROX1 siRNA-1 replicate 1	colon	NCI_thesaurus	fresh_sample	The MGED Ontology	Homo sapiens	ncbitax	SW480-R18	transfection	NCI_thesaurus	male	The MGED Ontology	colon carcinoma	adult	NCI_thesaurus	ATCC	P-MTAB-1514	P-MTAB-1515	P-MTAB-1517	Extract 3	total_RNA	mo	P-AFFY-2	LabeledExtract3	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	P-AFFY-6	PROX1 siRNA 1 1st	A-AFFY-37	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-37	PROX1 siRNA #1	E-MEXP-1422-raw-cel-1658527900.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1422/E-MEXP-1422.raw.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1658527986	P-MTAB-1516	E-MEXP-1422-processed-data-1658528009.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1422/E-MEXP-1422.processed.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1658527986
GFP siRNA replicate 2	colon	NCI_thesaurus	fresh_sample	The MGED Ontology	Homo sapiens	ncbitax	SW480-R18	transfection	NCI_thesaurus	male	The MGED Ontology	colon carcinoma	adult	NCI_thesaurus	ATCC	P-MTAB-1514	P-MTAB-1515	P-MTAB-1517	Extract 2	total_RNA	mo	P-AFFY-2	LabeledExtract2	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	P-AFFY-6	GFP siRNA 2nd	A-AFFY-37	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-37	GFP siRNA	E-MEXP-1422-raw-cel-1658527868.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1422/E-MEXP-1422.raw.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1658527986	P-MTAB-1516	E-MEXP-1422-processed-data-1658528009.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1422/E-MEXP-1422.processed.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1658527986
PROX1 siRNA-2 replicate 1	colon	NCI_thesaurus	fresh_sample	The MGED Ontology	Homo sapiens	ncbitax	SW480-R18	transfection	NCI_thesaurus	male	The MGED Ontology	colon carcinoma	adult	NCI_thesaurus	ATCC	P-MTAB-1514	P-MTAB-1515	P-MTAB-1517	Extract 5	total_RNA	mo	P-AFFY-2	LabeledExtract5	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	P-AFFY-6	PROX1 siRNA 2 1st	A-AFFY-37	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-37	PROX1 siRNA #2	E-MEXP-1422-raw-cel-1658527908.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1422/E-MEXP-1422.raw.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1658527986	P-MTAB-1516	E-MEXP-1422-processed-data-1658528009.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1422/E-MEXP-1422.processed.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1658527986
PROX1 siRNA-1 replicate 2	colon	NCI_thesaurus	fresh_sample	The MGED Ontology	Homo sapiens	ncbitax	SW480-R18	transfection	NCI_thesaurus	male	The MGED Ontology	colon carcinoma	adult	NCI_thesaurus	ATCC	P-MTAB-1514	P-MTAB-1515	P-MTAB-1517	Extract 4	total_RNA	mo	P-AFFY-2	LabeledExtract4	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	P-AFFY-6	PROX1 siRNA 1 2nd	A-AFFY-37	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-37	PROX1 siRNA #1	E-MEXP-1422-raw-cel-1658527876.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1422/E-MEXP-1422.raw.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1658527986	P-MTAB-1516	E-MEXP-1422-processed-data-1658528009.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1422/E-MEXP-1422.processed.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1658527986
GFP siRNA replicate 1	colon	NCI_thesaurus	fresh_sample	The MGED Ontology	Homo sapiens	ncbitax	SW480-R18	transfection	NCI_thesaurus	male	The MGED Ontology	colon carcinoma	adult	NCI_thesaurus	ATCC	P-MTAB-1514	P-MTAB-1515	P-MTAB-1517	Extract 1	total_RNA	mo	P-AFFY-2	LabeledExtract1	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	P-AFFY-6	GFP siRNA 1st	A-AFFY-37	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-37	GFP siRNA	E-MEXP-1422-raw-cel-1658527892.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1422/E-MEXP-1422.raw.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1658527986	P-MTAB-1516	E-MEXP-1422-processed-data-1658528009.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1422/E-MEXP-1422.processed.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1658527986
																																							


																																							
