
"ID_REF"	"GSM18228"	"GSM18229"	"GSM18230"	"GSM18231"	"GSM18232"	"GSM18233"	"GSM18290"	"GSM18291"	"GSM18292"	"GSM18293"	"GSM18294"	"GSM18295"	"GSM18296"	"GSM18297"	"GSM18298"	"GSM18299"	"GSM18300"	"GSM18301"	"GSM18302"	"GSM18303"	"GSM18304"	"GSM18305"
"244901_at"	74.7	80.9	93.2	75.7	104.6	96.9	68.5	62.7	60.9	109.1	80.3	101.7	39.7	101.5	71.6	102.3	73.8	79.7	108	128.5	92.3	118.4
"244902_at"	95.5	107	77	81.9	114	119.3	84.8	68.4	78.6	75.1	77.7	67.2	134	133.9	104.6	69.8	107.7	87.5	133.9	72.7	123.6	96
"244903_at"	172.2	219.1	196.4	199.4	193.1	194.9	118.3	162.9	190.1	196.8	143	140.4	177.1	210.9	186.5	190.9	91.2	125.4	239.8	316.8	125	158.4
"244904_at"	41.6	21.2	17	33.8	20.6	22.3	107.8	7.4	61	62.7	60.9	6.1	25.7	20.5	20	9.5	32.9	5.6	11.9	19.7	9.4	76.3
"244905_at"	40.4	69.1	55.2	18.9	48.6	34	88.5	56.4	67.9	81.4	38.8	38.1	38.8	88.9	44.2	9.8	28.6	70.6	51.6	65.3	19.9	11.9
"244906_at"	305.7	307.5	345.4	320.8	415.2	368.1	300.2	291.1	319.3	367.6	328.7	251.8	323.2	330.8	369.9	338.1	430.5	333.8	254.5	228.9	356.4	372.6
"244907_at"	5.7	4.1	8.1	35.4	3.5	5.6	19.4	4.8	8	19.7	3.7	8	45.5	47.9	3.5	4.9	26.3	4.6	5.3	49.9	4.8	4.9
"244908_at"	1.9	2.6	3.8	5	2.5	2.8	5.6	3.8	3.8	8.8	3.1	2.9	8.8	7.5	3.1	3.7	3.8	2.4	4.2	3.7	6.9	2.9
"244909_at"	38.8	43.3	13.3	38.5	54.1	50.3	11.8	10.2	102.3	31.1	21.9	10	59.4	22.9	41.5	57.4	38.7	43.4	78.9	40	37.7	24.2
"244910_s_at"	41.8	37.1	45.5	101.3	41.5	40.2	14.3	31.7	74.8	71.2	30.8	36.8	82.5	86.5	63	49.8	38.1	46.2	11.5	52.4	63.1	72.6
