bac_id,chrNo,cyto,bac_start,bac_end,bac_size,is_CNV_targetting,is_chr20_targetting
BAC246_L01,1,1p36.33,665398,742831,77433,-,-
BAC181_E22,1,1p36.33,711634,789889,78255,-,-
BAC127_E01,1,1p36.33,727410,821316,93906,-,-
BAC115_K03,1,1p36.33,762629,865959,103330,-,-
BAC54_B22,1,1p36.33,763939,837961,74022,-,-
BAC142_A22,1,1p36.33,778566,865959,87393,-,-
BAC37_N14,1,1p36.33,805555,893509,87954,-,-
BAC31_J22,1,1p36.33,838028,933541,95513,-,-
BAC69_G22,1,1p36.33,865968,964268,98300,-,-
BAC230_P11,1,1p36.33,1575434,1670693,95259,-,-
BAC56_B04,1,1p36.33,1725694,1820328,94634,-,-
BAC90_F04,1,1p36.33,1744728,1877123,132395,-,-
BAC199_B19,1,1p36.33,1849948,1981352,131404,-,-
BAC142_C15,1,1p36.33,1912205,1994524,82319,-,-
BAC183_I23,1,1p36.33,1917621,1994524,76903,-,-
BAC195_G03,1,1p36.33,1945814,2065352,119538,-,-
BAC145_F02,1,1p36.33,1968377,2065352,96975,-,-
BAC196_M17,1,1p36.33,2032232,2113710,81478,-,-
BAC176_F17,1,1p36.33,2085982,2192431,106449,-,-
BAC169_D13,1,1p36.33,2137149,2223509,86360,-,-
BAC38_N15,1,1p36.33,2192427,2278103,85676,-,-
BAC185_K01,1,1p36.33-1p36.32,2223564,2323053,99489,-,-
BAC205_M15,1,1p36.32,2341887,2435682,93795,-,-
BAC34_L22,1,1p36.32,2436026,2562198,126172,-,-
BAC100_M01,1,1p36.32,2448292,2559232,110940,-,-
BAC66_E08,1,1p36.32,2725104,2845778,120674,-,-
BAC41_E20,1,1p36.32,2736150,2852398,116248,-,-
BAC90_D18,1,1p36.32,2795614,2880870,85256,-,-
BAC185_M13,1,1p36.32,2987391,3150855,163464,-,-
BAC12_N07,1,1p36.32,3000997,3154925,153928,-,-
BAC109_P05,1,1p36.32,3000997,3086239,85242,-,-
BAC176_L05,1,1p36.32,3050312,3154925,104613,-,-
BAC27_I22,1,1p36.32,3050312,3168429,118117,-,-
BAC221_A09,1,1p36.32,3056266,3204889,148623,-,-
BAC170_P01,1,1p36.32,3056266,3168429,112163,-,-
BAC50_D17,1,1p36.32,3086239,3187553,101314,-,-
BAC248_M02,1,1p36.32,3167567,3290677,123110,-,-
BAC144_F04,1,1p36.32,3187550,3290678,103128,-,-
BAC148_K02,1,1p36.32,3195349,3360342,164993,-,-
BAC237_L15,1,1p36.32,3290729,3380425,89696,-,-
BAC58_E04,1,1p36.32,3336792,3460513,123721,-,-
BAC89_O17,1,1p36.32,3489433,3580644,91211,-,-
BAC242_E17,1,1p36.32,3512790,3680189,167399,-,-
BAC168_E18,1,1p36.32,3536337,3650185,113848,-,-
BAC163_A07,1,1p36.32,3536399,3655707,119308,-,-
BAC141_N19,1,1p36.32,3549885,3650185,100300,-,-
BAC46_N07,1,1p36.32,3549931,3650182,100251,-,-
BAC176_G17,1,1p36.32,3627922,3730262,102340,-,-
BAC184_J17,1,1p36.32,3647312,3735731,88419,-,-
BAC127_N23,1,1p36.32,3655702,3797375,141673,-,-
BAC225_F14,1,1p36.32,3680186,3793213,113027,-,-
BAC152_F16,1,1p36.32,3689984,3793213,103229,-,-
BAC141_C05,1,1p36.32,3730264,3811493,81229,-,-
BAC151_P12,1,1p36.32,3730264,3828330,98066,-,-
BAC53_H02,1,1p36.32,3899060,4000365,101305,-,-
BAC50_A12,1,1p36.32,3995785,4153099,157314,-,-
BAC234_C06,1,1p36.32,4018429,4130236,111807,-,-
BAC242_N11,1,1p36.32,4062618,4195855,133237,-,-
BAC236_I14,1,1p36.32,4066745,4167947,101202,-,-
BAC248_C19,1,1p36.32,4071574,4171020,99446,-,-
BAC78_N22,1,1p36.32,4106083,4193546,87463,-,-
BAC30_F12,1,1p36.32,4216288,4327381,111093,-,-
BAC26_B13,1,1p36.32,4232038,4371750,139712,-,-
BAC22_B20,1,1p36.32,4239211,4360593,121382,-,-
BAC22_D04,1,1p36.32,4239277,4388683,149406,-,-
BAC74_H04,1,1p36.32,4251925,4377471,125546,-,-
BAC169_C16,1,1p36.32,4253508,4377210,123702,-,-
BAC235_P13,1,1p36.32,4285041,4358266,73225,-,-
BAC37_P03,1,1p36.32,4336528,4449067,112539,-,-
BAC194_L23,1,1p36.32,4394377,4483986,89609,-,-
BAC5_I01,1,1p36.32,4397979,4572490,174511,-,-
BAC51_O19,1,1p36.32,4397987,4547559,149572,-,-
BAC180_I08,1,1p36.32,4408183,4485458,77275,-,-
BAC191_P10,1,1p36.32,4449097,4547559,98462,-,-
BAC68_E14,1,1p36.32,4487314,4574213,86899,-,-
BAC244_G17,1,1p36.32,4531228,4617532,86304,-,-
BAC170_E07,1,1p36.32,4547807,4639728,91921,-,-
BAC76_E01,1,1p36.32,4550089,4639728,89639,-,-
BAC1_H18,1,1p36.32,4551318,4639728,88410,-,-
BAC48_E17,1,1p36.32,4551350,4671266,119916,-,-
BAC83_A03,1,1p36.32,4639967,4716716,76749,-,-
BAC171_P09,1,1p36.32,4749037,4832802,83765,-,-
BAC148_O02,1,1p36.32,4749040,4825702,76662,-,-
BAC52_H04,1,1p36.32,4779512,4893228,113716,-,-
BAC167_N11,1,1p36.32,4944144,5023766,79622,-,-
BAC33_A06,1,1p36.32,5008152,5088354,80202,-,-
BAC161_H02,1,1p36.32-1p36.31,5225867,5318450,92583,-,-
BAC127_O11,1,1p36.31,5410334,5580096,169762,-,-
BAC61_O19,1,1p36.31,5419187,5516446,97259,-,-
BAC227_G17,1,1p36.31,5426906,5507451,80545,-,-
BAC104_P05,1,1p36.31,5471167,5629937,158770,-,-
BAC48_G06,1,1p36.31,5580221,5673504,93283,-,-
BAC31_N15,1,1p36.31,5640011,5754499,114488,-,-
BAC128_D11,1,1p36.31,5656992,5780029,123037,-,-
BAC12_N05,1,1p36.31,5659835,5754365,94530,-,-
BAC200_L08,1,1p36.31,5698864,5780029,81165,-,-
BAC240_I21,1,1p36.31,5829605,5930188,100583,-,-
BAC174_C08,1,1p36.31,5836718,5929053,92335,-,-
BAC102_E19,1,1p36.31,5859523,5959337,99814,-,-
BAC217_J14,1,1p36.31,5929047,6053229,124182,-,-
BAC224_J01,1,1p36.31,5950584,6053232,102648,-,-
BAC69_A04,1,1p36.31,5972249,6064482,92233,-,-
BAC64_H05,1,1p36.31,6058854,6180605,121751,-,-
BAC81_D16,1,1p36.31,6064489,6208823,144334,-,-
BAC63_J20,1,1p36.31,6064489,6245805,181316,-,-
BAC169_K24,1,1p36.31,6143403,6256544,113141,-,-
BAC46_L04,1,1p36.31,6180603,6296133,115530,-,-
BAC82_C24,1,1p36.31,6180608,6276656,96048,-,-
BAC33_L12,1,1p36.31,6198474,6276651,78177,-,-
BAC189_I08,1,1p36.31,6206563,6298400,91837,-,-
BAC55_D19,1,1p36.31,6208847,6296133,87286,-,-
BAC41_B20,1,1p36.31,6209161,6317250,108089,-,-
BAC71_H07,1,1p36.31,6264779,6395841,131062,-,-
BAC114_A01,1,1p36.31,6350972,6453833,102861,-,-
BAC143_J22,1,1p36.31,6414078,6518992,104914,-,-
BAC159_B08,1,1p36.31,6439847,6591983,152136,-,-
BAC247_P16,1,1p36.31,6473930,6557885,83955,-,-
BAC32_B12,1,1p36.31,6476310,6588197,111887,-,-
BAC20_E04,1,1p36.31,6504288,6606023,101735,-,-
BAC59_J23,1,1p36.31,6516266,6606143,89877,-,-
BAC195_O24,1,1p36.31,6588296,6685979,97683,-,-
