	A_GCA	A_GCT	A_GCG	A_GCC	R_CGG	R_CGC	R_CGT	R_AGA	R_CGA	R_AGG	N_AAC	N_AAT	D_GAT	D_GAC	C_TGT	C_TGC	Q_CAA	Q_CAG	E_GAA	E_GAG	G_GGA	G_GGT	G_GGC	G_GGG	H_CAT	H_CAC	I_ATA	I_ATT	I_ATC	L_TTA	L_CTC	L_CTT	L_TTG	L_CTA	L_CTG	K_AAA	K_AAG	M_ATG	F_TTC	F_TTT	P_CCT	P_CCG	P_CCC	P_CCA	S_TCA	S_TCT	S_TCG	S_TCC	S_AGT	S_AGC	T_ACG	T_ACT	T_ACA	T_ACC	W_TTG	Y_TAT	Y_TAC	V_GTT	V_GTC	V_GTA	V_GTG
AF399011	1840	2260	363	543	279	404	1648	549	538	394	1320	3668	4467	1001	566	225	1902	890	3916	1266	712	2949	601	341	1237	406	833	3473	1638	2315	366	1298	482	1865	494	3615	1589	1873	1362	1916	1159	384	218	1541	1314	1294	244	323	1361	401	336	2523	1463	804	1057	2653	897	2417	468	2113	580
AY939844	2288	2015	237	195	44	74	446	1829	108	412	1022	3795	4601	707	716	133	1857	810	3315	1545	2359	3847	225	301	1083	368	1768	2738	739	2284	260	1444	718	667	145	3012	2216	1268	913	2350	1579	95	165	1544	1369	2159	191	261	1666	174	264	3015	1927	478	920	2658	660	2809	249	1801	371
AY283928	2128	1679	1074	300	54	944	1576	431	629	44	2107	1653	2516	2447	636	292	1715	800	3988	1618	383	2440	1088	437	822	883	380	2434	2102	800	330	1391	1150	1165	724	3143	1765	1727	1831	1333	581	710	152	876	1303	940	646	73	770	736	964	1759	1434	287	1005	1351	1749	2121	723	1284	929
AY266303	1519	1804	932	727	179	801	1317	628	565	82	2037	1889	2927	1738	513	378	1638	886	3419	1394	1170	2073	1246	212	754	639	387	2263	2245	448	456	884	1145	496	1657	3210	2145	1930	1645	1451	575	814	173	706	627	1059	420	563	917	791	473	1715	1106	1023	963	2006	1004	2711	637	1195	879
AJ697969	551	1008	1260	1228	1077	425	1114	180	357	231	2054	1426	2143	1734	342	206	1211	1101	2795	1713	706	1772	567	1433	622	710	196	1799	1759	499	1240	520	1486	276	2079	1838	2048	1317	1780	1017	915	868	835	296	270	491	657	764	1121	531	1026	601	389	2121	812	978	1535	1181	1212	747	1564
AJ630128	1573	1463	249	280	15	205	590	1326	175	151	1067	2754	3309	757	328	152	1503	616	2770	1059	1704	2066	506	231	526	277	493	2741	1075	988	495	1137	633	745	362	2167	1340	905	1031	1701	840	55	195	1255	1056	1764	264	327	876	315	259	1868	1657	482	648	1877	757	1982	375	1121	351
AP008983	803	744	108	113	6	14	126	1332	96	213	766	3645	2623	515	620	119	1677	199	3167	617	1081	948	191	204	624	126	2798	1876	343	2783	43	395	499	487	63	4580	1260	992	316	1738	547	41	45	416	775	722	81	104	1103	232	137	1075	1181	162	473	2230	414	1063	90	1172	233
AY967407	1347	1164	966	377	127	726	1228	203	332	74	1997	1057	2583	1153	402	269	869	999	3235	597	558	1821	624	533	588	419	315	1582	1794	677	315	704	768	241	1576	3011	1101	1367	1326	994	654	742	150	487	609	798	348	395	523	581	654	960	910	853	760	1456	1028	1810	458	977	764
AY940168	2382	1217	182	133	14	52	435	1337	95	181	1152	2148	2690	929	324	79	1356	627	2045	1090	1418	2632	184	144	610	230	1173	1564	836	1353	289	891	434	699	112	2124	1296	913	832	1508	1094	48	112	793	1193	1337	96	163	899	153	139	1860	2108	333	633	1653	675	1396	490	1398	283
DQ149023	1933	1491	222	293	82	242	631	955	151	273	1246	2165	2858	1014	350	208	1323	801	2170	1303	1097	2467	730	215	561	392	222	2199	1242	718	530	1145	702	426	581	1864	1447	1018	996	1504	1210	99	402	635	571	1683	226	393	758	330	302	1949	1289	677	715	1735	733	1637	702	941	516
